iter	Passed	Remaining
0	120	120018
1	121	60843
2	123	41125
3	125	31250
4	127	25340
5	129	21384
6	132	18792
7	134	16652
8	136	14988
9	142	14146
10	144	13012
11	150	12386
12	152	11576
13	154	10865
14	156	10293
15	160	9854
16	162	9382
17	164	8958
18	168	8692
19	173	8521
20	176	8207
21	177	7908
22	179	7640
23	182	7407
24	185	7237
25	187	7038
26	189	6829
27	191	6639
28	195	6532
29	198	6403
30	200	6257
31	201	6108
32	203	5963
33	205	5833
34	207	5732
35	209	5609
36	211	5494
37	212	5389
38	214	5284
39	215	5182
40	218	5105
41	219	5015
42	222	4943
43	223	4859
44	225	4776
45	229	4761
46	231	4687
47	232	4619
48	234	4550
49	236	4489
50	237	4424
51	241	4411
52	244	4361
53	245	4302
54	247	4246
55	248	4193
56	250	4146
57	254	4129
58	256	4084
59	257	4035
60	259	3988
61	260	3945
62	262	3906
63	267	3908
64	269	3870
65	270	3829
66	272	3788
67	274	3756
68	275	3719
69	282	3747
70	284	3722
71	286	3689
72	287	3655
73	289	3622
74	292	3603
75	294	3575
76	295	3546
77	297	3514
78	298	3483
79	302	3473
80	304	3455
81	306	3430
82	307	3394
83	308	3366
84	310	3341
85	312	3318
86	314	3304
87	316	3283
88	318	3260
89	319	3235
90	322	3218
91	327	3232
92	329	3214
93	331	3195
94	333	3176
95	335	3161
96	340	3165
97	342	3153
98	344	3134
99	346	3121
100	352	3142
101	355	3130
102	357	3113
103	359	3095
104	363	3094
105	366	3089
106	368	3072
107	370	3059
108	372	3045
109	377	3052
110	379	3039
111	381	3022
112	382	3006
113	386	3004
114	389	2994
115	391	2981
116	392	2963
117	394	2948
118	400	2965
119	402	2953
120	404	2941
121	406	2925
122	408	2914
123	410	2901
124	412	2889
125	414	2876
126	416	2860
127	419	2859
128	422	2852
129	424	2839
130	426	2826
131	429	2821
132	431	2815
133	434	2806
134	436	2794
135	438	2782
136	443	2793
137	445	2780
138	447	2768
139	448	2755
140	450	2741
141	451	2725
142	455	2732
143	458	2723
144	459	2711
145	461	2698
146	463	2690
147	465	2678
148	469	2683
149	471	2673
150	473	2661
151	475	2650
152	476	2638
153	480	2640
154	482	2630
155	484	2619
156	485	2607
157	487	2599
158	489	2588
159	494	2595
160	495	2583
161	497	2572
162	498	2560
163	500	2550
164	502	2540
165	505	2540
166	507	2532
167	509	2522
168	510	2511
169	513	2504
170	514	2494
171	521	2511
172	523	2502
173	526	2499
174	534	2519
175	539	2524
176	547	2546
177	550	2543
178	557	2558
179	560	2552
180	562	2545
181	564	2537
182	566	2529
183	568	2520
184	570	2512
185	575	2516
186	579	2517
187	584	2523
188	586	2518
189	593	2531
190	596	2525
191	598	2520
192	601	2515
193	604	2511
194	606	2504
195	609	2498
196	611	2492
197	615	2492
198	618	2489
199	620	2482
200	626	2491
201	629	2485
202	632	2483
203	635	2479
204	638	2475
205	644	2483
206	652	2499
207	655	2496
208	658	2493
209	661	2486
210	663	2481
211	665	2473
212	673	2488
213	675	2480
214	678	2477
215	687	2496
216	690	2491
217	693	2486
218	695	2479
219	698	2474
220	700	2468
221	707	2479
222	710	2475
223	713	2471
224	715	2466
225	723	2479
226	726	2474
227	729	2470
228	736	2478
229	744	2494
230	747	2487
231	750	2483
232	752	2478
233	754	2471
234	756	2463
235	759	2458
236	760	2449
237	766	2454
238	768	2446
239	769	2437
240	771	2430
241	773	2422
242	775	2414
243	779	2416
244	781	2407
245	782	2399
246	784	2391
247	786	2385
248	789	2381
249	792	2376
250	793	2368
251	795	2359
252	796	2352
253	798	2345
254	803	2346
255	804	2339
256	806	2331
257	808	2323
258	809	2316
259	811	2310
260	814	2307
261	817	2302
262	819	2295
263	820	2288
264	824	2287
265	827	2282
266	828	2275
267	830	2268
268	832	2263
269	835	2258
270	838	2255
271	840	2248
272	842	2243
273	845	2240
274	847	2233
275	849	2228
276	851	2222
277	856	2223
278	858	2217
279	860	2211
280	862	2207
281	864	2200
282	870	2205
283	872	2199
284	874	2193
285	876	2188
286	878	2182
287	880	2176
288	882	2170
289	884	2164
290	886	2158
291	892	2164
292	894	2158
293	896	2152
294	899	2148
295	905	2152
296	907	2146
297	908	2141
298	911	2136
299	913	2130
300	919	2135
301	921	2130
302	923	2125
303	926	2120
304	931	2123
305	933	2117
306	935	2112
307	937	2106
308	939	2100
309	944	2101
310	945	2095
311	947	2089
312	948	2082
313	950	2076
314	952	2071
315	956	2070
316	958	2064
317	959	2058
318	961	2052
319	963	2047
320	968	2048
321	969	2042
322	971	2036
323	974	2033
324	976	2027
325	980	2027
326	982	2021
327	985	2019
328	987	2014
329	989	2008
330	992	2006
331	996	2004
332	997	1998
333	999	1992
334	1043	2070
335	1046	2067
336	1054	2074
337	1057	2071
338	1059	2066
339	1061	2061
340	1076	2080
341	1078	2075
342	1081	2070
343	1082	2064
344	1085	2061
345	1087	2055
