iter	Passed	Remaining
0	203	203495
1	212	105801
2	224	74614
3	236	58985
4	244	48590
5	252	41906
6	264	37533
7	277	34444
8	296	32635
9	301	29841
10	304	27388
11	307	25316
12	309	23505
13	311	21936
14	316	20754
15	317	19549
16	319	18489
17	321	17548
18	323	16704
19	324	15921
20	326	15214
21	329	14645
22	331	14060
23	332	13522
24	334	13028
25	335	12577
26	337	12167
27	339	11769
28	340	11396
29	343	11092
30	344	10783
31	346	10479
32	348	10201
33	350	9953
34	351	9697
35	353	9455
36	354	9225
37	357	9051
38	358	8845
39	360	8648
40	361	8461
41	363	8285
42	364	8115
43	366	7953
44	367	7797
45	369	7670
46	372	7543
47	373	7413
48	375	7287
49	377	7173
50	380	7082
51	382	6971
52	387	6922
53	389	6828
54	394	6772
55	404	6825
56	409	6774
57	412	6696
58	417	6666
59	420	6585
60	436	6711
61	438	6640
62	441	6563
63	443	6487
64	447	6443
65	450	6372
66	452	6298
67	454	6227
68	456	6156
69	458	6095
70	462	6051
71	465	5996
72	467	5933
73	469	5875
74	472	5824
75	474	5773
76	477	5727
77	480	5677
78	482	5623
79	484	5570
80	486	5515
81	488	5464
82	489	5405
83	493	5384
84	495	5337
85	497	5292
86	500	5247
87	502	5204
88	504	5162
89	508	5140
90	511	5104
91	513	5067
92	516	5034
93	518	4998
94	523	4982
95	525	4947
96	527	4912
97	530	4880
98	532	4847
99	536	4832
100	539	4806
101	542	4772
102	544	4740
103	546	4708
104	548	4678
105	552	4658
106	557	4649
107	559	4617
108	561	4588
109	563	4557
110	567	4541
111	569	4517
112	571	4486
113	573	4455
114	574	4424
115	576	4394
116	578	4368
117	583	4360
118	585	4331
119	586	4302
120	588	4272
121	589	4241
122	590	4212
123	592	4183
124	593	4154
125	598	4150
126	599	4122
127	601	4097
128	603	4072
129	604	4047
130	606	4022
131	608	4000
132	612	3993
133	614	3972
134	616	3952
135	618	3929
136	620	3908
137	622	3886
138	623	3864
139	629	3865
140	632	3851
141	633	3827
142	635	3810
143	637	3791
144	639	3773
145	643	3765
146	645	3747
147	648	3732
148	650	3716
149	652	3698
150	658	3704
151	660	3686
152	662	3669
153	664	3651
154	666	3635
155	669	3624
156	673	3618
157	676	3603
158	678	3588
159	680	3573
160	681	3552
161	687	3554
162	688	3537
163	690	3521
164	692	3505
165	694	3488
166	696	3472
167	697	3455
168	702	3455
169	704	3439
170	706	3424
171	708	3408
172	709	3393
173	711	3378
174	715	3375
175	717	3361
176	719	3346
177	721	3332
178	723	3318
179	725	3303
180	726	3289
181	732	3290
182	734	3279
183	736	3267
184	738	3255
185	740	3242
186	742	3229
187	748	3233
188	750	3222
189	753	3210
190	755	3198
191	757	3186
192	761	3183
193	763	3173
194	766	3162
195	768	3151
196	772	3147
197	773	3134
198	776	3125
199	778	3112
200	779	3100
201	782	3090
202	785	3083
203	793	3094
204	795	3083
205	797	3074
206	799	3062
207	801	3051
208	803	3041
209	806	3034
210	809	3027
211	812	3018
212	815	3012
213	819	3011
214	822	3002
215	826	2998
216	827	2987
217	829	2975
218	831	2964
219	835	2962
220	838	2955
221	840	2946
222	843	2938
223	846	2931
224	849	2927
225	852	2919
226	854	2911
227	857	2901
228	859	2894
229	865	2896
230	867	2887
231	869	2879
232	872	2872
233	874	2862
234	878	2860
235	880	2850
236	882	2840
237	883	2830
238	885	2819
239	888	2812
240	890	2803
241	894	2802
242	896	2792
243	898	2783
244	900	2774
245	902	2766
246	904	2757
247	909	2758
248	912	2752
249	921	2763
250	924	2757
251	927	2753
252	930	2746
253	935	2749
254	939	2743
255	941	2735
256	952	2754
257	957	2752
258	959	2745
259	965	2747
260	977	2766
261	983	2768
262	985	2760
263	989	2757
264	993	2754
265	1008	2783
266	1023	2809
267	1035	2828
268	1038	2821
269	1045	2825
270	1048	2819
271	1057	2829
272	1064	2836
273	1067	2829
274	1070	2822
275	1078	2828
276	1089	2842
277	1099	2854
278	1104	2854
279	1126	2896
280	1130	2892
281	1133	2885
282	1137	2880
283	1142	2881
284	1150	2886
285	1156	2887
286	1160	2883
287	1163	2876
288	1166	2869
289	1181	2891
290	1187	2893
291	1191	2889
292	1198	2891
293	1206	2896
294	1209	2889
295	1213	2886
296	1220	2889
297	1224	2885
298	1228	2879
299	1236	2885
300	1240	2881
301	1247	2882
302	1251	2878
303	1253	2869
304	1255	2861
305	1260	2859
306	1266	2858
307	1268	2849
308	1271	2842
309	1272	2833
310	1287	2851
311	1311	2890
312	1322	2901
313	1330	2907
314	1358	2953
315	1384	2997
316	1388	2990
317	1390	2982
318	1394	2978
319	1398	2971
320	1402	2965
321	1404	2958
322	1410	2955
323	1412	2946
324	1414	2937
325	1420	2937
326	1427	2938
327	1430	2931
328	1434	2924
329	1443	2931
330	1461	2953
331	1466	2951
332	1475	2954
333	1478	2947
334	1481	2941
335	1483	2932
336	1490	2932
337	1493	2925
338	1496	2917
339	1498	2908
340	1502	2903
341	1505	2897
342	1508	2889
343	1513	2886
344	1520	2886
345	1522	2878
346	1525	2869
347	1527	2861
348	1529	2853
349	1532	2845
350	1533	2836
351	1536	2827
352	1538	2819
353	1539	2810
354	1541	2801
355	1546	2796
356	1547	2787
357	1549	2779
358	1551	2770
359	1554	2763
360	1556	2755
361	1562	2753
362	1564	2745
363	1567	2739
364	1570	2731
365	1572	2724
366	1575	2717
367	1578	2710
368	1583	2707
369	1590	2708
370	1595	2704
371	1600	2701
372	1609	2704
373	1614	2701
374	1621	2701
375	1624	2696
376	1628	2690
377	1635	2691
378	1640	2687
379	1644	2682
380	1646	2675
381	1651	2671
382	1653	2664
383	1656	2656
384	1658	2649
385	1661	2642
386	1664	2636
387	1666	2628
388	1668	2620
389	1669	2611
390	1671	2603
391	1673	2595
392	1675	2587
393	1676	2579
394	1680	2574
395	1682	2566
396	1684	2558
397	1685	2549
398	1687	2542
399	1689	2534
400	1691	2526
401	1694	2520
402	1697	2514
403	1699	2507
404	1701	2499
405	1703	2491
406	1704	2483
407	1705	2475
408	1707	2467
409	1711	2462
410	1712	2454
411	1714	2446
412	1716	2439
413	1717	2431
414	1719	2423
415	1720	2415
416	1723	2408
417	1724	2401
418	1726	2393
419	1728	2386
420	1729	2378
421	1731	2371
422	1733	2364
423	1734	2356
424	1735	2348
425	1738	2342
426	1740	2335
427	1741	2327
428	1742	2319
429	1744	2312
430	1746	2305
431	1747	2298
432	1749	2290
433	1750	2283
434	1753	2277
435	1755	2270
436	1756	2262
437	1757	2255
438	1759	2248
439	1760	2240
440	1762	2233
441	1763	2226
442	1765	2219
443	1767	2213
444	1769	2206
445	1770	2199
446	1771	2191
447	1773	2184
448	1774	2177
449	1776	2171
450	1778	2164
451	1780	2158
452	1783	2153
453	1785	2147
454	1787	2141
455	1790	2135
456	1792	2129
457	1794	2123
458	1796	2117
459	1798	2111
460	1800	2104
461	1802	2098
462	1804	2093
463	1806	2086
464	1808	2080
465	1810	2074
466	1812	2069
467	1814	2062
468	1816	2056
469	1818	2050
470	1819	2043
471	1821	2037
472	1823	2031
473	1825	2025
474	1827	2019
475	1829	2013
476	1831	2007
477	1832	2001
478	1834	1995
479	1836	1989
480	1838	1983
481	1841	1978
482	1843	1973
483	1844	1966
484	1846	1960
485	1848	1954
486	1850	1948
487	1851	1942
488	1853	1937
489	1856	1932
490	1858	1926
491	1860	1920
492	1861	1914
493	1863	1908
494	1865	1902
495	1867	1897
496	1870	1893
497	1872	1887
498	1874	1882
499	1876	1876
500	1878	1871
501	1880	1865
502	1882	1860
503	1885	1855
504	1887	1849
505	1888	1844
506	1890	1838
507	1892	1832
508	1894	1827
509	1895	1821
510	1898	1817
511	1900	1811
512	1902	1806
513	1904	1801
514	1906	1795
515	1908	1789
516	1909	1784
517	1911	1778
518	1913	1773
519	1915	1768
520	1917	1762
521	1919	1757
522	1920	1751
523	1922	1746
524	1923	1740
525	1925	1734
526	1927	1730
527	1929	1724
528	1930	1719
529	1932	1713
530	1933	1707
531	1935	1702
532	1936	1696
533	1937	1691
534	1939	1685
535	1941	1680
536	1943	1675
537	1944	1670
538	1946	1664
539	1947	1659
540	1948	1653
541	1950	1648
542	1951	1642
543	1953	1637
544	1954	1631
545	1957	1627
546	1959	1622
547	1961	1617
548	1963	1612
549	1964	1607
550	1966	1602
551	1968	1597
552	1971	1593
553	1974	1589
554	1976	1584
555	1977	1579
556	1979	1574
557	1981	1569
558	1982	1563
559	1983	1558
560	1986	1554
561	1987	1549
562	1989	1543
563	1990	1538
564	1991	1533
565	1993	1528
566	1994	1523
567	1995	1518
568	1997	1512
569	1999	1508
570	2002	1504
571	2003	1499
572	2005	1494
573	2006	1489
574	2008	1484
575	2009	1479
576	2011	1474
577	2012	1469
578	2014	1464
579	2016	1460
580	2018	1455
581	2019	1450
582	2020	1445
583	2022	1440
584	2023	1435
585	2024	1430
586	2026	1425
587	2027	1420
588	2030	1416
589	2031	1412
590	2033	1407
591	2034	1402
592	2036	1397
593	2037	1392
594	2038	1387
595	2040	1383
596	2041	1378
597	2043	1373
598	2045	1369
599	2047	1364
600	2048	1360
601	2049	1355
602	2051	1350
603	2052	1345
604	2053	1340
605	2055	1336
606	2056	1331
607	2058	1327
608	2060	1323
609	2062	1318
610	2064	1314
611	2066	1309
612	2067	1305
613	2069	1301
614	2071	1296
615	2073	1292
616	2076	1288
617	2078	1284
618	2080	1280
619	2081	1275
620	2083	1271
621	2085	1267
622	2087	1263
623	2091	1260
624	2093	1256
625	2095	1251
626	2097	1247
627	2098	1243
628	2100	1239
629	2102	1234
630	2107	1232
631	2109	1228
632	2111	1224
633	2113	1220
634	2115	1215
635	2116	1211
636	2119	1207
637	2121	1203
638	2122	1199
639	2124	1195
640	2126	1190
641	2128	1186
642	2129	1182
643	2131	1178
644	2135	1175
645	2137	1171
646	2138	1166
647	2140	1162
648	2142	1158
649	2143	1154
650	2145	1150
651	2147	1146
652	2151	1143
653	2153	1139
654	2154	1135
655	2156	1130
656	2158	1126
657	2160	1122
658	2161	1118
659	2164	1114
660	2166	1111
661	2168	1107
662	2170	1103
663	2172	1099
664	2175	1095
665	2176	1091
666	2180	1088
667	2181	1084
668	2183	1080
669	2185	1076
670	2187	1072
671	2188	1068
672	2190	1064
673	2192	1060
674	2194	1056
675	2196	1052
676	2198	1048
677	2200	1045
678	2202	1041
679	2203	1037
680	2205	1033
681	2209	1030
682	2210	1026
683	2212	1022
684	2214	1018
685	2216	1014
686	2218	1010
687	2220	1006
688	2222	1003
689	2224	999
690	2226	995
691	2227	991
692	2229	987
693	2230	983
694	2231	979
695	2233	975
696	2234	971
697	2236	967
698	2238	964
699	2240	960
700	2241	956
701	2243	952
702	2244	948
703	2245	944
704	2247	940
705	2248	936
706	2249	932
707	2251	928
708	2253	925
709	2255	921
710	2257	917
711	2258	913
712	2260	909
713	2262	906
714	2263	902
715	2265	898
716	2267	895
717	2269	891
718	2270	887
719	2271	883
720	2273	879
721	2274	875
722	2276	872
723	2277	868
724	2278	864
725	2280	860
726	2283	857
727	2284	853
728	2285	849
729	2287	845
730	2288	842
731	2290	838
732	2291	834
733	2292	830
734	2294	827
735	2296	823
736	2298	820
737	2299	816
738	2301	812
739	2302	809
740	2304	805
741	2305	801
742	2306	797
